"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","logic_source_for_dispersal_distance2","Notes","genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference","is.nocturnal","is.nocturnal_source","raster_mean"
95,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA",28,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",NA,37.02,"tmax",0.13,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
96,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA",28,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",NA,38.5,"tmax",NA,"SD",10,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
97,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA",28,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",NA,40.5,"tmax",NA,"SD",10,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985","NA","NA",NA
159,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus melas_42.08_NA",23,42.08,-81.34,"","Ameiurus","melas","Lake Erie",NA,35,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","melas","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",66,"Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015","NA","NA",NA
160,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus melas_39.016739_NA",26,39.016739,-90.992256,"inferred","Ameiurus","melas","Cuivre River, Missouri, United States",NA,38.1,"tmax",0.39,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","melas","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",66,"Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015","NA","NA",NA
163,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus natalis_42.08_NA",22.2,42.08,-81.34,"","Ameiurus","natalis","Lake Erie",NA,36.4,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","natalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",60,"Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","Y","","Greenbank, 1956","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","2555","Meyers et al., 2015","NA","NA",NA
167,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus natalis_39.201_NA",26,39.201,-92.177,"inferred","Ameiurus","natalis","centroid of Salt River, Lamine River, Missouri, United States",NA,37.9,"tmax",0.44,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","natalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",60,"Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","Y","","Greenbank, 1956","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","2555","Meyers et al., 2015","NA","NA",NA
277,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA",12,-37.27,174.87,"","Anguilla","australis","Lower Waikato River New Zealand",7,33.4,"tmax",1,"SD",13,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",130,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009","NA","NA",NA
278,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA",20,-37.27,174.87,"","Anguilla","australis","Lower Waikato River New Zealand",7,35.6,"tmax",1.53,"SD",16,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",130,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009","NA","NA",NA
279,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA",21.5,-37.27,174.87,"","Anguilla","australis","Lower Waikato River New Zealand",7,36,"tmax",0.62,"SD",12,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",130,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009","NA","NA",NA
297,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Mora & Ospína 2001","Comte","Apogon dovii_2.97_NA",26.5,2.97,7.18,"","Apogon","dovii","Gorgona Island national park Columbia",1,37.04,"tmax",0.34,"SD",28,"critical","LOE","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine","1","days",NA,NA,NA,"Apogon","dovii","unk","","unk","","","unk","",7.5,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","unk","","NA","NA",NA
298,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Ospína & Mora 2004","Comte","Apogon dovii_2.99_NA",26.5,2.99,-78.2,"","Apogon","dovii","Gorgona Island reefs Columbia",1,36.43,"tmax",0.76,"SD",27,"lethal","death","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine","1","days",NA,NA,NA,"Apogon","dovii","unk","","unk","","","unk","",7.5,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","unk","","NA","NA",NA
299,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Graham 1971","Comte","Apogon dovii_7.33_NA",28,7.33,-80.21,"","Apogon","dovii","Pacific ocean Panama",NA,37.23,"tmax",0.88,"SD",12,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"days",NA,NA,NA,"Apogon","dovii","unk","","unk","","","unk","",7.5,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","unk","","NA","NA",NA
322,"Bathygobius ramosus","Chordata","Teleostei","Perciformes","Gobiidae",NA,"Mora & Ospína 2001","Comte","Bathygobius ramosus_2.97_NA",26.5,2.97,7.18,"","Bathygobius","ramosus","Gorgona Island national park Columbia",1,35.13,"tmax",0.12,"SD",15,"critical","LOE","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine","1","days",NA,NA,NA,"Bathygobius","ramosus","unk","","unk","","","unk","",20,"Froese & Pauly, 2000","12","Froese & Pauly, 2000","12","Froese & Pauly, 2000","Y","","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","unk","","NA","NA",NA
323,"Bathygobius ramosus","Chordata","Teleostei","Perciformes","Gobiidae",NA,"Graham 1971","Comte","Bathygobius ramosus_7.33_NA",28,7.33,-80.21,"","Bathygobius","ramosus","Pacific ocean Panama",NA,40.7,"tmax",0.09,"SD",21,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"days",NA,NA,NA,"Bathygobius","ramosus","unk","","unk","","","unk","",20,"Froese & Pauly, 2000","12","Froese & Pauly, 2000","12","Froese & Pauly, 2000","Y","","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","unk","","NA","NA",NA
370,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Mundahl 1990","Comte","Carpiodes cyprinus_39.97_NA",24,39.97,-82.81,"","Carpiodes","cyprinus","Indian Creek Ohio US",NA,38.8,"tmax",0.8,"SD",6,"critical","LOE","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,"complicated migration","Carpiodes","cyprinus","2190","Parker & Franzin, 1991","1460","Parker & Franzin, 1991","","10-100","NatureServe, 2020",45.7,"Parker & Franzin, 1991","44.4-44.9","Parker & Franzin, 1991","40.9-41.3","Parker & Franzin, 1991","","","","migratory","NatureServe, 2020",NA,NA,"","unk","","Azenor/Nikki","4015","Meyers et al., 2015","NA","NA",NA
371,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Carpiodes cyprinus_42.08_NA",23.3,42.08,-81.34,"","Carpiodes","cyprinus","Lake Erie",NA,37.2,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,"complicated migration","Carpiodes","cyprinus","2190","Parker & Franzin, 1991","1460","Parker & Franzin, 1991","","10-100","NatureServe, 2020",45.7,"Parker & Franzin, 1991","44.4-44.9","Parker & Franzin, 1991","40.9-41.3","Parker & Franzin, 1991","","","","migratory","NatureServe, 2020",NA,NA,"","unk","","Azenor/Nikki","4015","Meyers et al., 2015","NA","NA",NA
380,"Catostomus clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_NA",10,34.048927,-111.093735,"inferred","Catostomus","clarkii","Virgin River Utha US",14,32.2,"tmax",0.64,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Catostomus","clarkii","730","NatureServe, 2020","730","NatureServe, 2020","Y","0-1","Booth et al., 2013",33,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.022-0.53","Booth et al., 2013","Azenor/Nikki","3650","NatureServe, 2020","NA","NA",NA
381,"Catostomus clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_NA",25,34.048927,-111.093735,"inferred","Catostomus","clarkii","Virgin River Utha US",14,37.17,"tmax",0.5,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Catostomus","clarkii","730","NatureServe, 2020","730","NatureServe, 2020","Y","0-1","Booth et al., 2013",33,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.022-0.53","Booth et al., 2013","Azenor/Nikki","3650","NatureServe, 2020","NA","NA",NA
388,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",5,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,26.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
389,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",10,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,27.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
390,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",15,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
391,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",20,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
392,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",25,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
393,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA",19,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,31.6,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
410,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Beitinger et al. 2000","Comte","Catostomus commersonii_39.279_NA",26,39.279,-91.155,"inferred","Catostomus","commersonii","centroid of Salt River, Cuivre River, Missouri, United States",NA,34.9,"tmax",0.25,"SD",5,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015","NA","NA",NA
